event_id,qid,qid_name,category,severity,credibility,relevance,magnitude,start_time,source_ip,source_port,source_mac,source_hostname,source_country,destination_ip,destination_port,destination_mac,destination_hostname,destination_country,protocol,application,direction,packet_count,byte_count,username,authentication_type,process_name,command_line,filename,md5,sha256,url,domain,dns_query,user_agent,offense_id,risk_score,log_source_name,raw_event
QR-1031,5001,MS-SQL Connection,Database,2,9,5,2,2026-06-29T07:35:00.000Z,10.10.10.26,52100,AA:BB:CC:10:26:01,ws-finance-26,US,10.10.20.14,1433,00:50:56:B2:20:14,db-finance-03,US,TCP,MSSQL,OUTBOUND,8,5632,bsmith@corp.local,Kerberos,ssms.exe,,,,,,db-finance-03,,OFF-3000,12,,QRadar_Core,MS-SQL Connection: ws-finance-26 -> db-finance-03 [MSSQL]
QR-1032,6001,External Port Scan Detected,Recon,7,9,9,7,2026-06-29T09:00:00.000Z,45.33.32.156,51000,00:11:22:33:44:88,shodan-scan-156,NL,10.10.40.55,22,00:50:56:E5:40:55,ops-jump-55,US,TCP,SSH,INBOUND,6,360,,,,,,,,,,,OFF-4000,72,Port Scan: 45.33.32.156 -> 10.10.40.55:22 [SSH] Nmap/7.93,QRadar_Core,External Port Scan Detected: shodan-scan-156 -> ops-jump-55 [SSH]
QR-1033,6001,External Port Scan Detected,Recon,7,9,9,7,2026-06-29T09:00:15.000Z,45.33.32.156,51001,00:11:22:33:44:88,shodan-scan-156,NL,10.10.40.55,3389,00:50:56:E5:40:55,ops-jump-55,US,TCP,RDP,INBOUND,4,240,,,,,,,,,,,OFF-4000,68,Port Scan: 45.33.32.156 -> 10.10.40.55:3389 [RDP] Nmap/7.93,QRadar_Core,External Port Scan Detected: shodan-scan-156 -> ops-jump-55 [RDP]
QR-1034,6001,External Port Scan Detected,Recon,6,9,9,6,2026-06-29T09:01:00.000Z,45.33.32.156,51002,00:11:22:33:44:88,shodan-scan-156,NL,10.10.70.20,443,00:1A:A2:70:20:01,fw-edge-01,US,TCP,HTTPS,INBOUND,3,180,,,,,,,,,,,OFF-4000,61,Port Scan: 45.33.32.156 -> 10.10.70.20:443 [HTTPS] Nmap/7.93,QRadar_Core,External Port Scan Detected: shodan-scan-156 -> fw-edge-01 [HTTPS]
QR-1035,6001,External Port Scan Detected,Recon,7,9,9,7,2026-06-29T09:01:30.000Z,45.33.32.156,51003,00:11:22:33:44:88,shodan-scan-156,NL,10.10.20.12,445,00:50:56:B2:20:12,fs-payroll-01,US,TCP,SMB,INBOUND,4,240,,,,,,,,,,,OFF-4001,80,Port Scan: 45.33.32.156 -> 10.10.20.12:445 [SMB] Nmap/7.93,QRadar_Core,External Port Scan Detected: shodan-scan-156 -> fs-payroll-01 [SMB]
QR-1036,6002,External Firewall Deny,Firewall,5,9,9,5,2026-06-29T09:02:00.000Z,45.33.32.156,51004,00:11:22:33:44:88,shodan-scan-156,NL,10.10.70.20,8080,00:1A:A2:70:20:01,fw-edge-01,US,TCP,HTTP,INBOUND,2,120,,,,,,,,,,,OFF-4000,55,Firewall DENY: 45.33.32.156:51004 -> fw-edge-01:8080 [DROP],QRadar_Core,External Firewall Deny: shodan-scan-156 -> fw-edge-01 [HTTP]
QR-1037,6002,External Firewall Deny,Firewall,5,9,9,5,2026-06-29T09:02:30.000Z,45.33.32.156,51005,00:11:22:33:44:88,shodan-scan-156,NL,10.10.30.1,80,00:50:56:30:01:01,web-dmz-01,US,TCP,HTTP,INBOUND,2,120,,,,,,,,,,,OFF-4000,50,Firewall DENY: 45.33.32.156:51005 -> web-dmz-01:80 [DROP],QRadar_Core,External Firewall Deny: shodan-scan-156 -> web-dmz-01 [HTTP]
QR-1038,6001,External Port Scan Detected,Recon,6,9,9,6,2026-06-29T09:03:00.000Z,45.33.32.156,51010,00:11:22:33:44:88,shodan-scan-156,NL,10.10.30.1,443,00:50:56:30:01:01,web-dmz-01,US,TCP,HTTPS,INBOUND,3,180,,,,,,,,,,,OFF-4000,62,Port Scan: 45.33.32.156 -> 10.10.30.1:443 [HTTPS] Nmap/7.93,QRadar_Core,External Port Scan Detected: shodan-scan-156 -> web-dmz-01 [HTTPS]
QR-1039,6003,SSH Brute Force Detected,Brute Force,8,9,9,8,2026-06-29T12:00:00.000Z,185.220.101.42,54001,00:AA:BB:CC:DD:42,tor-exit-42,DE,10.10.40.55,22,00:50:56:E5:40:55,ops-jump-55,US,TCP,SSH,INBOUND,12,1440,,,,,,,,,,,OFF-4002,85,SSH BF: 185.220.101.42 -> ops-jump-55:22 attempt #1 [failed],QRadar_Core,SSH Brute Force Detected: tor-exit-42 -> ops-jump-55 [SSH]
QR-1040,6003,SSH Brute Force Detected,Brute Force,8,9,9,8,2026-06-29T12:00:30.000Z,185.220.101.42,54002,00:AA:BB:CC:DD:42,tor-exit-42,DE,10.10.40.55,22,00:50:56:E5:40:55,ops-jump-55,US,TCP,SSH,INBOUND,12,1440,,,,,,,,,,,OFF-4002,85,SSH BF: 185.220.101.42 -> ops-jump-55:22 attempt #2 [failed],QRadar_Core,SSH Brute Force Detected: tor-exit-42 -> ops-jump-55 [SSH]
QR-1041,6003,SSH Brute Force Detected,Brute Force,8,9,9,8,2026-06-29T12:01:00.000Z,185.220.101.42,54003,00:AA:BB:CC:DD:42,tor-exit-42,DE,10.10.40.55,22,00:50:56:E5:40:55,ops-jump-55,US,TCP,SSH,INBOUND,12,1440,,,,,,,,,,,OFF-4002,85,SSH BF: 185.220.101.42 -> ops-jump-55:22 attempt #3 [failed],QRadar_Core,SSH Brute Force Detected: tor-exit-42 -> ops-jump-55 [SSH]
QR-1042,6003,SSH Brute Force Detected,Brute Force,8,9,9,8,2026-06-29T12:01:30.000Z,185.220.101.42,54004,00:AA:BB:CC:DD:42,tor-exit-42,DE,10.10.40.55,22,00:50:56:E5:40:55,ops-jump-55,US,TCP,SSH,INBOUND,12,1440,,,,,,,,,,,OFF-4002,85,SSH BF: 185.220.101.42 -> ops-jump-55:22 attempt #4 [failed],QRadar_Core,SSH Brute Force Detected: tor-exit-42 -> ops-jump-55 [SSH]
QR-1043,6004,SSH Auth Success After Failures,Brute Force,9,9,9,9,2026-06-29T12:02:00.000Z,185.220.101.42,54005,00:AA:BB:CC:DD:42,tor-exit-42,DE,10.10.40.55,22,00:50:56:E5:40:55,ops-jump-55,US,TCP,SSH,INBOUND,20,2560,root,password,bash,,,,,,,,OFF-4002,92,SSH BF SUCCESS: 185.220.101.42 -> ops-jump-55:22 after 4 failures [CRITICAL],QRadar_Core,SSH Auth Success After Failures: tor-exit-42 -> ops-jump-55 [SSH]
QR-1044,6005,C2 Beacon Detected,Malware,9,9,9,9,2026-06-29T10:00:00.000Z,10.10.10.26,55000,AA:BB:CC:10:26:01,ws-finance-26,US,203.0.113.50,443,,c2-server-50,CN,TCP,HTTPS,OUTBOUND,8,4096,bsmith@corp.local,,chrome.exe,,,,https://203.0.113.50/beacon,,,,OFF-4003,91,C2 Beacon: 10.10.10.26 -> 203.0.113.50:443 [TLS beaconing every 5min],QRadar_Core,C2 Beacon Detected: ws-finance-26 -> c2-server-50 [HTTPS]
QR-1045,6005,C2 Beacon Detected,Malware,9,9,9,9,2026-06-29T10:05:00.000Z,10.10.10.26,55001,AA:BB:CC:10:26:01,ws-finance-26,US,203.0.113.50,443,,c2-server-50,CN,TCP,HTTPS,OUTBOUND,8,4096,bsmith@corp.local,,chrome.exe,,,,https://203.0.113.50/beacon,,,,OFF-4003,91,C2 Beacon: 10.10.10.26 -> 203.0.113.50:443 interval#2,QRadar_Core,C2 Beacon Detected: ws-finance-26 -> c2-server-50 [HTTPS]
QR-1046,6005,C2 Beacon Detected,Malware,9,9,9,9,2026-06-29T10:10:00.000Z,10.10.10.26,55002,AA:BB:CC:10:26:01,ws-finance-26,US,203.0.113.50,443,,c2-server-50,CN,TCP,HTTPS,OUTBOUND,8,4096,bsmith@corp.local,,chrome.exe,,,,https://203.0.113.50/beacon,,,,OFF-4003,91,C2 Beacon: 10.10.10.26 -> 203.0.113.50:443 interval#3,QRadar_Core,C2 Beacon Detected: ws-finance-26 -> c2-server-50 [HTTPS]
QR-1047,6005,C2 Beacon Detected,Malware,9,9,9,9,2026-06-29T10:15:00.000Z,10.10.10.26,55003,AA:BB:CC:10:26:01,ws-finance-26,US,203.0.113.50,443,,c2-server-50,CN,TCP,HTTPS,OUTBOUND,8,4096,bsmith@corp.local,,chrome.exe,,,,https://203.0.113.50/beacon,,,,OFF-4003,91,C2 Beacon: 10.10.10.26 -> 203.0.113.50:443 interval#4,QRadar_Core,C2 Beacon Detected: ws-finance-26 -> c2-server-50 [HTTPS]
QR-1048,6006,Large Data Transfer Outbound,Exfil,8,9,9,8,2026-06-29T13:00:00.000Z,10.10.10.26,58800,AA:BB:CC:10:26:01,ws-finance-26,US,10.10.20.12,445,00:50:56:B2:20:12,fs-payroll-01,US,TCP,SMB,OUTBOUND,850,1310720,bsmith@corp.local,Kerberos,robocopy.exe,robocopy \\fs-payroll-01\payroll C:\Users\bsmith\AppData\Temp\p /E,,,,,,,OFF-4004,88,LARGE SMB TRANSFER: ws-finance-26 bulk-reading fs-payroll-01 1.25MB [unusual volume],QRadar_Core,Large Data Transfer Outbound: ws-finance-26 -> fs-payroll-01 [SMB]
QR-1049,6006,Large Data Transfer Outbound,Exfil,8,9,9,8,2026-06-29T13:10:00.000Z,10.10.10.26,58801,AA:BB:CC:10:26:01,ws-finance-26,US,10.10.20.14,1433,00:50:56:B2:20:14,db-finance-03,US,TCP,MSSQL,OUTBOUND,620,1048576,bsmith@corp.local,Kerberos,sqlcmd.exe,"sqlcmd -S db-finance-03 -Q ""SELECT * FROM payroll.dbo.employee_compensation""",,,,,,,OFF-4004,87,MSSQL mass SELECT: ws-finance-26 reading all payroll data [1MB unusual for user],QRadar_Core,Large Data Transfer Outbound: ws-finance-26 -> db-finance-03 [MSSQL]
QR-1050,6006,Large Data Transfer Outbound,Exfil,9,9,9,9,2026-06-29T13:20:00.000Z,10.10.10.26,55100,AA:BB:CC:10:26:01,ws-finance-26,US,203.0.113.50,443,,c2-server-50,CN,TCP,HTTPS,OUTBOUND,1240,2097152,bsmith@corp.local,,chrome.exe,,,,,,,,OFF-4003,96,DATA EXFIL: ws-finance-26 uploading 2MB to 203.0.113.50 [C2 upload pattern],QRadar_Core,Large Data Transfer Outbound: ws-finance-26 -> c2-server-50 [HTTPS]
QR-1051,6007,Lateral Movement Detected,LateralMovement,9,9,9,9,2026-06-29T15:00:00.000Z,10.10.10.26,49500,AA:BB:CC:10:26:01,ws-finance-26,US,10.10.20.16,445,00:50:56:A0:20:16,auth-dc-01,US,TCP,SMB,OUTBOUND,25,20480,bsmith@corp.local,Kerberos,cmd.exe,net use \\auth-dc-01\admin$ /user:administrator,,,,,auth-dc-01,,OFF-4005,95,LATERAL MOVEMENT: ws-finance-26 probing auth-dc-01 admin share [PtH attempt],QRadar_Core,Lateral Movement Detected: ws-finance-26 -> auth-dc-01 [SMB]
QR-1052,6007,Lateral Movement Detected,LateralMovement,9,9,9,9,2026-06-29T15:05:00.000Z,10.10.10.26,49501,AA:BB:CC:10:26:01,ws-finance-26,US,10.10.20.13,445,00:50:56:B2:20:13,fs-hr-02,US,TCP,SMB,OUTBOUND,18,14336,bsmith@corp.local,Kerberos,cmd.exe,net use \\fs-hr-02\c$ /user:administrator,,,,,fs-hr-02,,OFF-4005,90,LATERAL MOVEMENT: ws-finance-26 accessing HR server admin share,QRadar_Core,Lateral Movement Detected: ws-finance-26 -> fs-hr-02 [SMB]
QR-1053,6007,Lateral Movement Detected,LateralMovement,8,9,9,8,2026-06-29T15:10:00.000Z,10.10.10.26,49502,AA:BB:CC:10:26:01,ws-finance-26,US,10.10.20.15,1433,00:50:56:B2:20:15,db-hr-06,US,TCP,MSSQL,OUTBOUND,15,12288,bsmith@corp.local,Kerberos,sqlcmd.exe,"sqlcmd -S db-hr-06 -Q ""SELECT * FROM hr.dbo.personnel""",,,,,db-hr-06,,OFF-4005,87,LATERAL MOVEMENT: ws-finance-26 querying HR DB (out-of-scope access),QRadar_Core,Lateral Movement Detected: ws-finance-26 -> db-hr-06 [MSSQL]
QR-1054,6008,Rogue Device NAC Bypass Attempt,NAC,7,9,8,7,2026-06-29T16:00:00.000Z,10.10.10.200,52000,DE:AD:BE:EF:CA:FE,rogue-device,US,10.10.20.16,88,00:50:56:A0:20:16,auth-dc-01,US,TCP,Kerberos,OUTBOUND,4,1024,,,,,,,,,,,OFF-4006,75,NAC BYPASS: Unknown MAC DE:AD:BE:EF:CA:FE on VLAN 10 attempting Kerberos auth,QRadar_Core,Rogue Device NAC Bypass Attempt: rogue-device -> auth-dc-01 [Kerberos]
QR-1055,6009,Policy Violation Access Attempt,Authorization,6,9,8,6,2026-06-29T16:10:00.000Z,10.10.10.23,54888,AA:BB:CC:10:23:01,ws-finance-23,US,10.10.20.15,1433,00:50:56:B2:20:15,db-hr-06,US,TCP,MSSQL,OUTBOUND,4,1024,tpatel@corp.local,Kerberos,ssms.exe,,,,,,db-hr-06,,OFF-4007,70,POLICY VIOLATION: Finance user tpatel attempting access to HR DB (denied by APIC),QRadar_Core,Policy Violation Access Attempt: ws-finance-23 -> db-hr-06 [MSSQL]
